"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 21:38:16 GMT 2024","Fri Apr 05 21:38:16 GMT 2024","580","","","","ProjectApiTest","AddProjectTest","AddProjectTest",""
"passed","Fri Apr 05 21:38:16 GMT 2024","Fri Apr 05 21:38:16 GMT 2024","257","","","","ProjectFakerApiTest","GetProjectTest","GetProjectTest",""
"passed","Fri Apr 05 21:38:16 GMT 2024","Fri Apr 05 21:38:16 GMT 2024","577","","","","ProjectFakerApiTest","AddProjectTest","AddProjectTest",""
"passed","Fri Apr 05 21:38:17 GMT 2024","Fri Apr 05 21:38:17 GMT 2024","259","","","","ProjectApiTest","DeleteProjectTest","DeleteProjectTest",""
"passed","Fri Apr 05 21:38:16 GMT 2024","Fri Apr 05 21:38:19 GMT 2024","2798","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"passed","Fri Apr 05 21:38:16 GMT 2024","Fri Apr 05 21:38:16 GMT 2024","223","","","","ProjectApiTest","GetProjectTest","GetProjectTest",""
"passed","Fri Apr 05 21:38:11 GMT 2024","Fri Apr 05 21:38:12 GMT 2024","321","","","","ProjectFakerApiTest","DeleteProjectTest","DeleteProjectTest",""
"passed","Fri Apr 05 21:38:16 GMT 2024","Fri Apr 05 21:38:30 GMT 2024","14104","","","","ProjectTest","SuccessfulAddProjectTest","SuccessfulAddProjectTest",""
"passed","Fri Apr 05 21:38:16 GMT 2024","Fri Apr 05 21:38:18 GMT 2024","2383","","","","LoginTest","InvalidUsernameLoginTest","InvalidUsernameLoginTest",""
"passed","Fri Apr 05 21:38:16 GMT 2024","Fri Apr 05 21:38:17 GMT 2024","263","","","","ProjectApiTest","UpdateAddProjectTest","UpdateAddProjectTest",""
